Артикул;ID;Наименование
0-6508;c0b48377-15de-11e5-8d86-005056a700e0;Нож Steel Will 311 Courage 48280 (сталь 9Cr15MoV)
0-6509;c0b48378-15de-11e5-8d86-005056a700e0;Нож Steel Will 320 Courage 48281 (сталь 9Cr15MoV)
0-6510;c0b48379-15de-11e5-8d86-005056a700e0;Нож Steel Will 321 Courage 48282 (сталь 9Cr15MoV)
0-6506;c0b48375-15de-11e5-8d86-005056a700e0;Нож Steel Will 612 Onrush 49359 (сталь N-690Co)
0-6505;c0b48374-15de-11e5-8d86-005056a700e0;Нож Steel Will 622 Onrush 49360 (сталь N-690Co)
0-6559;c83efe62-15de-11e5-8d86-005056a700e0;Нож Бобр (булат), граб, А. Жбанов
0-6560;c83efe63-15de-11e5-8d86-005056a700e0;Нож Бобр (булат), граб, А. Жбанов
0-6568;c83efe6b-15de-11e5-8d86-005056a700e0;Нож Бриг-1 (дамасская сталь), кожа
0-6530;c0b4838d-15de-11e5-8d86-005056a700e0;Нож Бубновый (сталь D2)
0-6558;c83efe61-15de-11e5-8d86-005056a700e0;Нож Восток (булат), граб, А. Жбанов
0-6564;c83efe67-15de-11e5-8d86-005056a700e0;Нож Глухарь (порошковая сталь Uddeholm ELMAX) граб
0-6578;c83efe72-15de-11e5-8d86-005056a700e0;Нож Горный, сталь Elmax, алюминий+кап, РТ 103
0-6562;c83efe65-15de-11e5-8d86-005056a700e0;Нож Золотоискатель (сталь vanadis10), карельская береза, А.Жбанов
0-6561;c83efe64-15de-11e5-8d86-005056a700e0;Нож Кадет (дамасская сталь)
0-6526;c0b48389-15de-11e5-8d86-005056a700e0;Нож Кайман (сталь 70Х16МФС), резина, камуфляж
0-6528;c0b4838b-15de-11e5-8d86-005056a700e0;Нож Кельт (сталь 52100)
0-6525;c0b48388-15de-11e5-8d86-005056a700e0;Нож Кобра (сталь 70Х16МФС), резина, хром
0-6529;c0b4838c-15de-11e5-8d86-005056a700e0;Нож Крестовый (сталь D2)
0-6541;c0b48398-15de-11e5-8d86-005056a700e0;Нож Лань, (сталь Х12мф) М.Груздев
0-6549;c0b4839c-15de-11e5-8d86-005056a700e0;Нож Медведь (сталь булат)
0-6512;c0b4837b-15de-11e5-8d86-005056a700e0;Нож метательный City Brother 1101 Warhawk 41037 (cталь 420J2)
0-6511;c0b4837a-15de-11e5-8d86-005056a700e0;Нож метательный City Brother 1103 Corsair 41039 (cталь 420J2)
0-6514;c0b4837d-15de-11e5-8d86-005056a700e0;Нож метательный City Brother 1105 Fireball 41041 (cталь 420J2)
0-6513;c0b4837c-15de-11e5-8d86-005056a700e0;Нож метательный City Brother 1107 King Cobra 41042 (cталь 420J2)
0-6527;c0b4838a-15de-11e5-8d86-005056a700e0;Нож Напильник (сталь У12), рукоять слива, резьба
0-6524;c0b48387-15de-11e5-8d86-005056a700e0;Нож НР-09 (сталь 70Х16МФС), резиновая ручка, камуфляж
0-6548;c0b4839b-15de-11e5-8d86-005056a700e0;Нож Осетр (дамасская сталь)
0-6563;c83efe66-15de-11e5-8d86-005056a700e0;Нож Охотник (сталь ХВ5), А.Жбанов, граб
0-6577;c83efe71-15de-11e5-8d86-005056a700e0;Нож Риф, сталь Elmax, алюминий+орех, РТ 112
0-6550;c0b4839d-15de-11e5-8d86-005056a700e0;Нож Самурай (сталь ХВ5) деревянные ножны
0-6551;c0b4839e-15de-11e5-8d86-005056a700e0;Нож Самурай (сталь ХВ5), граб, литье, деревянные ножны
0-6555;c83efe5f-15de-11e5-8d86-005056a700e0;Нож складной Енот (сталь булат)
0-6553;c83efe5d-15de-11e5-8d86-005056a700e0;Нож складной Омуль- М (дамасская сталь)
0-6552;c83efe5c-15de-11e5-8d86-005056a700e0;Нож складной Омуль-А (дамасская сталь)
0-6554;c83efe5e-15de-11e5-8d86-005056a700e0;Нож складной Хищник, три предмета (сталь булат)
0-6498;c0b48372-15de-11e5-8d86-005056a700e0;Нож Универсал -1 (сталь Х12МФ) мельхиор, рукоять граб, гравировка, А.Чебурков
0-6566;c83efe69-15de-11e5-8d86-005056a700e0;Нож Универсал (сталь 95Х18), ц.м. А. Жбанов
0-6494;c0b48371-15de-11e5-8d86-005056a700e0;Нож Шквал (нержавеющий ламинат) белый металл, рукоять граб, А.Чебурков
0-6499;c0b48373-15de-11e5-8d86-005056a700e0;Нож Шквал (сталь К340) бронза, рукоять кап ореха, гравировка, А.Чебурков
0-6573;c83efe70-15de-11e5-8d86-005056a700e0;"Ножевая композиция ""Яга"" (Теща на задании), (сталь коврово-мозаичный дамасск), бивень мамонта, стаби"
0-6557;c83efe60-15de-11e5-8d86-005056a700e0;Шеф повар №2 (сталь булат), венге, цельнометалический, А.Жбанов
0-6547;c0b4839a-15de-11e5-8d86-005056a700e0;Шеф повар №3 (сталь 95Х18) цельнометаллический, А.Жбанов
0-6546;c0b48399-15de-11e5-8d86-005056a700e0;Шеф повар №7А (сталь 95Х18), ц.м., А. Жбанов
